year	month	basil/herbs	beets	cabbage	carrots	collards	cucumbers	chives	eggplant	greens	green beans	jalapenos	kale	lettuce/chard	melons	okra	onions/garlic	peppers	potatoes	radish	spinach	squash	berries/figs	sugar snap peas/soy beans	sweet potatoes	tomatoes	Lettuce Pray	turnips	zucchini
2019	December				0.50	1.00				19.00				1.50			1.00												
2018	January				1.75					2.25			1.00	2.50			0.25											2.75	
2018	February				2.00			0.25		10.75			0.50	1.50														2.00	
2018	March		0.75			3.75		0.25		9.00			0.75	1.50															
2018	April	0.25	4.00		46.00	0.75		1.75		16.25			8.00	11.50			3.00				0.25							4.25	0.50
2018	May	0.50	16.25		18.00	11.25		2.75		35.00	7.50		8.75	50.25			7.00				3.25		26.75	40.25			3.25		
2018	June	2.00	6.40			1.00		1.50		8.00	13.50	5.50	6.50	0.75			16.25	1.75	42.00		21.75	14.50	0.25	0.75		6.25	0.50		
2018	July	1.00				3.50	68.00		3.00	6.00	20.75	16.75	2.00		31.50	10.60	1.50	4.25			14.75	72.50				188.00	70.00	4.25	
2018	August	2.00					14.00		1.50	2.75	8.25	17.00			89.75	22.25		7.50			46.75	24.00				130.50	92.00		
2018	September						0.50		0.75		10.75	19.25		2.50	15.50	26.50		11.25			27.75	3.00	0.50			19.50	17.00		
2018	October	0.25		0.33	1.75	1.50			0.33	5.50	0.25	16.25	5.50	2.50	2.50	3.33		6.85			53.75		7.00			6.00	92.00		
2018	November				0.75					8.50	0.25	3.00	5.75	12.25		0.50		2.25			10.50		2.25		37.00	1.50	26.00		
2018	December				9.00					5.00			1.25	11.75									0.00				5.75		
2017	January		1.00	4.00	2.00	2.00				9.75			2.75	4.75			1.00			0.75								2.00	
2017	February			11.50	11.75	2.30				32.00			2.00	16.00			0.75			11.25								2.50	
2017	March			18.50	3.25					25.25			19.00	2.00			5.33											3.25	
2017	April			6.25	24.75					1.50			11.25	12.75			0.25						21.25						
2017	May	0.50		3.00		10.50				11.50	6.50		5.75	93.75			97.50	0.10			5.00		28.25	6.50					
2017	June	5.00	10.25	5.75	0.25		6.50			39.50	6.25	2.25	14.75	13.00			22.75	3.00			4.25	50.75	1.50			35.50			
2017	July	1.00	12.00		0.13	2.50	106.25	0.25		17.00	4.75	7.75	5.00	1.00	14.00	2.00	9.75	7.00			59.25	34.50	0.25	0.50		278.50			1.00
2017	August	0.75	1.50		0.75		26.75	1.25		4.25	13.00	11.50		1.50	56.25	39.00		6.00			37.75	30.75	0.50	0.75		126.75			
2017	September	1.50	0.25		0.25			0.25		7.50	5.50	12.50			27.75	22.75		13.75			88.50	26.50			113.30	55.75			
2017	October	0.50				18.00				7.00	2.25	11.25		10.75		22.25	2.00	9.50			33.50			1.50	230.90	20.75			
2017	November					10.00				8.50	1.50			13.25		0.25		8.25			14.75				2.25	11.00			
2017	December					7.50		0.25		14.25		0.25	6.75	18.00														3.50	
2016	January				7.00					0.75				1.75															
2016	February																												
2016	March																												
2016	April							0.94		7.75			12.44	3.06			6.63						6.19	1.06					
2016	May		3.25		16.75					12.70			18.75	11.00			5.00						18.40	14.75					
2016	June		17.25		50.25		1.00	0.20		16.72	12.25		13.25	22.90			17.40				12.75		4.25	2.50		19.00		7.00	
2016	July	2.00	8.00		0.50		41.50			5.75	14.50	4.00	1.00	7.25	2.25	13.25	7.00	12.25			28.00	7.75	0.25			285.75			
2016	August	1.00	7.50		1.25		13.75	0.25			3.50	4.75			5.00	107.00		17.00			48.00	56.70	0.50		24.75	135.25			
2016	September	0.25					3.00				15.50	4.75			6.00	34.75		4.00			53.00	1.25	0.25			30.00			
2016	October	1.00				11.00				5.00	17.00	10.00	0.50	0.75		20.25		9.25			39.75	3.25			215.25	77.00			
2016	November					13.00				18.25	3.00	6.00	4.75	12.75		5.00	2.25	6.75			4.75				0.25	28.75			
2016	December				1.75	9.00				20.75		 	3.00	19.75														2.00	
2015	January				7	2.25	 			1			1.25															0.75	
2015	February				8								2.75																
2015	March				1								11.5				2				0.25								
2015	April					1							7.75	1.25			5.75				3.25								
2015	May		3			10				17.5	9		21	18.75			13.75			2.5	1.5		16	9.75					
2015	June		25.5		21.25	14.25	0.25			25.5	14.25	0.5	5.5	31.75			15.5	0.25		21	6.5	19	0.5	3		42.25		8.5	
2015	July	0.25	27		14.75	23.75	24			2.75	22.25	3.75	8.75	33.5		24.25	6.5	2			21.5	82	0.5			165.75		20.25	5.75
2015	August	0.5	1.25		6.5	1	47			1	6.75	5		14.5		67	0.5	2.25			22	233.75	48			91.25			
2015	September	0.25	3.5	3.55	1.25	5.125	17			3.5	18.125	2.81		10.25		79.75	0.75	1.5			57.75	80.25				66.9			
2015	October		0.55		1.75	5.75	2.75			3.75	10.25	8.75	1	11.75	2.9	29.75		6.1			54		0.25		188.3	83.25			
2015	November		6.5		4.75	30.5				10.5	1.25	0.75	5.5	7			1	2								 		5.75	
2015	December				13.25	27.25				4.5			3	8.25			0.25											0.25	
2014	January		0.25		8	2				3.7			0.75								0.25							5	
2014	February																												
2014	March																												
2014	April				7.5	2.25				2.5			1.5	1			2			1.75									
2014	May		6		3.5	6				6	4		1	19			4			5.75	5.25		37	20					
2014	June		9			4				9.25	15.5	3	0.4	124.5		9	6	8		1.5	1.5	7	0.25	4.05		14.5			22
2014	July		7.5			7.5	22	1.75		4	34	7.75		22.5		47	8	12		1.5	5.75	29				151			57
2014	August	3		39		1	21			6.5	69.5	12		8.5	99	42	2	18			6.75	30				43			12
2014	September	4	9.75	19		13.5	0.5	3		8.25	25	10.5	1	11.75	33	45	7	13	2.5		25	31			39	37	9	4	
2014	October	4	4	26		17				13	11.5	9.5	4	6	3	62.75	3.5	10		2.5	16	15			256	12.8	0.3	5	
2014	November		1	7		8				6.5	0.75	0	0.5	3.5		1.75		0.5		4	3.5				1	16		4	
2014	December		0.5		20	6				1.75		0		1.75			3			1.25								21.5	
2013	January				2.5					3.25				1.75															
2013	February				4					4				0.75															
2013	March					2				3				0.5															
2013	April					4				8			5.5	1.5															
2013	May				2	16				37			10	14			2			1.5			6					4.5	
2013	June		2		27	6	20			17	30	2.75		25		0.5	8	4		2		6		9		17	2	2.75	1
2013	July						58			15	99	11		0.75		8	7	9		1		8		8		56	13		29
2013	August					2.5	7			12	31	11.5			20	34	10	16		1		11				23	12		9
2013	September							2		2	45	10		2	8	30	6	16	1		5	54			42	10.5	1		2.5
2013	October	8		25	12	 		0.75		16.5	13	5		0.75	6	3.5	3	13			4.5	56			146	22			
2013	November													1											151				
2013	December																												
